"hds_orderheader_id","organization_id","company_code","order_index","order_type","order_no","spec_l_order_indictr","project_id","customer_no","customer_po_number","customer_po_date","date_entered","date_last_modified","expiration_date","register_print_date","title","salesperson_id_1","salesperson_1_pct","salesperson_id_2","negotiated_comm","delivery_indicator","cust_ack_indicator","invoicing_indicator","disguise_indicator","customer_terms_code","order_status","location_code","cus_ack_print_date","cus_ack_maj_version","cus_ack_min_version","osr_print_date","osr_maj_version","osr_min_version","std_presentation_ack","std_presentation_dt","std_presentation_inv","std_presentation_osr","lease_code","default_tax_code","po_to_print","ack_to_print","dt_to_print","invoice_to_print","orig_qte_number","audit_id","price_presentation","quote_print_date","quote_address","cus_ack_address","cus_ord_status_addr","invoice_address","check_gross_profit","last_invoice_date","target_gp_","presold_exclude_date","retail_order","all_labor_billable","print_inst_pln_wrksh","last_ts_actvty_date","global_customer","original_sell","original_cost","original_tax","invoice_summary","service_order_indicator","customer_po_amount","time_and_materials","sti_invoice_type","prospect_no","quote_released","date_order_not_active","manual_percent_complete","do_not_use_line_image_opt","do_not_use_standard_image_opt","do_not_use_subsection_image_opt","xml_fragment","objectkey","created_on","updated_on","process_id"
"-1","TANGRAM","1",243882,"O",140472,"S",NULL,"BAA001","D1483332","2006-12-18 00:00:00","2006-12-20 00:00:00","2007-03-26 00:00:00",NULL,NULL,"HIGHLAND PARK","502","100",NULL,"0","C","N","C","N","4 ","A","1  ",NULL,0,0,NULL,0,0,"S","C","S","S","  ","LO10","N","N","N","N",200627,"AGU","S","2006-12-18 00:00:00","D","D","D","M",False,NULL,"-44.57",NULL,False,False,False,NULL,False,"$2,030.99","$2,936.12","$136.52",False,False,"$0.00",False,"S",NULL,False,NULL,False,"N","N","N","<Env><Line_Image_Opt>N</Line_Image_Opt><Stds_Image_Opt>N</Stds_Image_Opt><Subsec_Image_Opt>N</Subsec_Image_Opt><Carton_Request>N</Carton_Request><Large_Image_Size>1</Large_Image_Size><Line_Fin_Summ>N</Line_Fin_Summ><Stds_Fin_Summ>N</Stds_Fin_Summ><Subsec_Fin_Summ>N</Subsec_Fin_Summ><Fin_Summ>N</Fin_Summ><Lock_Order>0</Lock_Order><Quick_Turn_Around>0</Quick_Turn_Around><Quote_Type>B</Quote_Type></Env>","TANGRAM-OP_ORDER_HEADER-1-243882-O","2025-05-02 00:06:44.974371",NULL,NULL
"-1","TANGRAM","1",243898,"O",140475,"S",NULL,"BAA001","D1483197","2006-12-18 00:00:00","2006-12-20 00:00:00","2007-04-27 00:00:00",NULL,NULL,"SOTO HOSTETTER","502","100",NULL,"0","C","N","C","N","4 ","A","1  ",NULL,0,0,NULL,0,0,"S","C","S","S","  ","LO10","N","N","N","N",200643,"AGU","S","2006-12-18 00:00:00","D","D","D","M",False,NULL,"0.36",NULL,False,False,False,NULL,False,"$2,131.23","$2,123.58","$144.48",False,False,"$0.00",False,"S",NULL,False,NULL,False,"N","N","N","<Env><Line_Image_Opt>N</Line_Image_Opt><Stds_Image_Opt>N</Stds_Image_Opt><Subsec_Image_Opt>N</Subsec_Image_Opt><Carton_Request>N</Carton_Request><Large_Image_Size>1</Large_Image_Size><Line_Fin_Summ>N</Line_Fin_Summ><Stds_Fin_Summ>N</Stds_Fin_Summ><Subsec_Fin_Summ>N</Subsec_Fin_Summ><Fin_Summ>N</Fin_Summ><Lock_Order>0</Lock_Order><Quick_Turn_Around>0</Quick_Turn_Around><Quote_Type>B</Quote_Type></Env>","TANGRAM-OP_ORDER_HEADER-1-243898-O","2025-05-02 00:06:44.974371",NULL,NULL
"-1","TANGRAM","1",244015,"O",115516,"S",NULL,"BAA001","WARRANTY","2005-09-15 00:00:00","2005-09-15 00:00:00","2005-09-27 00:00:00",NULL,NULL,"PICO VERMONT SERVICE","502","100",NULL,"0","C","N","C","N","4 ","A","1  ",NULL,0,0,NULL,0,0,"S","C","S","S","  ","LO10","N","N","N","N",0,"AGU","S",NULL,"D","D","D","M",True,NULL,"-999.99",NULL,False,False,False,NULL,False,"$0.00","$25.00","$0.00",False,False,"$0.00",False,"S",NULL,False,NULL,False,"N","N","N","<Env><Line_Image_Opt>N</Line_Image_Opt><Stds_Image_Opt>N</Stds_Image_Opt><Subsec_Image_Opt>N</Subsec_Image_Opt><Carton_Request>N</Carton_Request><Large_Image_Size>1</Large_Image_Size><Line_Fin_Summ>N</Line_Fin_Summ><Stds_Fin_Summ>N</Stds_Fin_Summ><Subsec_Fin_Summ>N</Subsec_Fin_Summ><Fin_Summ>N</Fin_Summ><Lock_Order>0</Lock_Order><Quick_Turn_Around>0</Quick_Turn_Around><Quote_Type>B</Quote_Type></Env>","TANGRAM-OP_ORDER_HEADER-1-244015-O","2025-05-02 00:06:44.974371",NULL,NULL
"-1","TANGRAM","1",244030,"O",118273,"S",NULL,"FDI010","ZILKA110405","2005-11-04 00:00:00","2005-11-04 00:00:00","2007-07-06 00:00:00",NULL,NULL,"TOM ZILKA - TRANSACTION COUNTER","548","100",NULL,"0","C","N","C","N","4 ","A","1  ",NULL,0,0,NULL,0,0,"S","C","S","S","  ","LO10","N","N","N","N",200733,"MBR","S","2005-10-31 00:00:00","D","M","M","M",True,NULL,"53.93",NULL,False,False,False,NULL,False,"$108.52","$50.00","$8.95",False,False,"$0.00",False,"S",NULL,False,NULL,False,"N","N","N","<Env><Line_Image_Opt>N</Line_Image_Opt><Stds_Image_Opt>N</Stds_Image_Opt><Subsec_Image_Opt>N</Subsec_Image_Opt><Carton_Request>N</Carton_Request><Large_Image_Size>1</Large_Image_Size><Line_Fin_Summ>N</Line_Fin_Summ><Stds_Fin_Summ>N</Stds_Fin_Summ><Subsec_Fin_Summ>N</Subsec_Fin_Summ><Fin_Summ>N</Fin_Summ><Lock_Order>0</Lock_Order><Quick_Turn_Around>0</Quick_Turn_Around><Quote_Type>B</Quote_Type></Env>","TANGRAM-OP_ORDER_HEADER-1-244030-O","2025-05-02 00:06:44.974371",NULL,NULL
"-1","TANGRAM","1",244094,"O",115551,"S",NULL,"BAA001","OKAY PER MITCH S","2005-09-15 00:00:00","2005-09-16 00:00:00","2005-09-16 00:00:00",NULL,NULL,"LAGUNA NIGEL LABOR","502","100",NULL,"0","C","N","C","N","4 ","A","1  ",NULL,0,0,NULL,0,0,"S","C","S","S","  ","OR10","N","N","N","N",0,"AGU","S",NULL,"D","D","D","M",False,NULL,"-999.99",NULL,False,False,False,NULL,False,"$0.00","$43.00","$0.00",False,False,"$0.00",False,"S",NULL,False,NULL,False,"N","N","N","<Env><Line_Image_Opt>N</Line_Image_Opt><Stds_Image_Opt>N</Stds_Image_Opt><Subsec_Image_Opt>N</Subsec_Image_Opt><Carton_Request>N</Carton_Request><Large_Image_Size>1</Large_Image_Size><Line_Fin_Summ>N</Line_Fin_Summ><Stds_Fin_Summ>N</Stds_Fin_Summ><Subsec_Fin_Summ>N</Subsec_Fin_Summ><Fin_Summ>N</Fin_Summ><Lock_Order>0</Lock_Order><Quick_Turn_Around>0</Quick_Turn_Around><Quote_Type>B</Quote_Type></Env>","TANGRAM-OP_ORDER_HEADER-1-244094-O","2025-05-02 00:06:44.974371",NULL,NULL
"-1","TANGRAM","1",244237,"O",140547,"S","200869","BAA001","D1488144","2006-12-18 00:00:00","2006-12-21 00:00:00","2007-03-23 00:00:00",NULL,NULL,"PICO VERMONT","502","100",NULL,"0","C","N","C","N","4 ","A","1  ",NULL,0,0,NULL,0,0,"S","C","S","S","  ","LO10","N","N","N","N",200869,"AGU","S","2006-12-20 00:00:00","D","D","D","M",False,NULL,"12.91",NULL,False,False,False,NULL,False,"$10,733.61","$9,347.74","$402.53",False,False,"$0.00",False,"S",NULL,False,NULL,False,"N","N","N","<Env><Line_Image_Opt>N</Line_Image_Opt><Stds_Image_Opt>N</Stds_Image_Opt><Subsec_Image_Opt>N</Subsec_Image_Opt><Carton_Request>N</Carton_Request><Large_Image_Size>1</Large_Image_Size><Line_Fin_Summ>N</Line_Fin_Summ><Stds_Fin_Summ>N</Stds_Fin_Summ><Subsec_Fin_Summ>N</Subsec_Fin_Summ><Fin_Summ>N</Fin_Summ><Lock_Order>0</Lock_Order><Quick_Turn_Around>0</Quick_Turn_Around><Quote_Type>B</Quote_Type></Env>","TANGRAM-OP_ORDER_HEADER-1-244237-O","2025-05-02 00:06:44.974371",NULL,NULL
"-1","TANGRAM","1",244953,"O",140429,"S",NULL,"BAA001","D1481431","2006-12-18 00:00:00","2006-12-19 00:00:00","2007-03-23 00:00:00",NULL,NULL,"WASHINGTON & 12TH","502","100",NULL,"0","C","N","C","N","4 ","A","1  ",NULL,0,0,NULL,0,0,"S","C","S","S","  ","LO10","N","N","N","N",201423,"AGU","S","2006-12-16 00:00:00","D","D","D","M",False,NULL,"-32.34",NULL,False,False,False,NULL,False,"$2,023.24","$2,677.56","$137.42",False,False,"$0.00",False,"S",NULL,False,NULL,False,"N","N","N","<Env><Line_Image_Opt>N</Line_Image_Opt><Stds_Image_Opt>N</Stds_Image_Opt><Subsec_Image_Opt>N</Subsec_Image_Opt><Carton_Request>N</Carton_Request><Large_Image_Size>1</Large_Image_Size><Line_Fin_Summ>N</Line_Fin_Summ><Stds_Fin_Summ>N</Stds_Fin_Summ><Subsec_Fin_Summ>N</Subsec_Fin_Summ><Fin_Summ>N</Fin_Summ><Lock_Order>0</Lock_Order><Quick_Turn_Around>0</Quick_Turn_Around><Quote_Type>B</Quote_Type></Env>","TANGRAM-OP_ORDER_HEADER-1-244953-O","2025-05-02 00:06:44.974371",NULL,NULL
"-1","TANGRAM","1",245031,"O",116682,"S",NULL,"VET002","605A50455","2005-10-07 00:00:00","2005-10-07 00:00:00","2005-10-27 00:00:00",NULL,NULL,"STORAGE","505","100",NULL,"0","C","N","C","N","4 ","A","1  ",NULL,0,0,NULL,0,0,"S","C","S","S","  ","GOVT","N","N","N","N",201483,"RVI","S","2005-09-26 00:00:00","P","P","P","M",True,NULL,"100",NULL,False,False,False,NULL,False,"$1,081.98","$0.00","$0.00",False,False,"$0.00",False,"S",NULL,False,NULL,False,"N","N","N","<Env><Line_Image_Opt>N</Line_Image_Opt><Stds_Image_Opt>N</Stds_Image_Opt><Subsec_Image_Opt>N</Subsec_Image_Opt><Carton_Request>N</Carton_Request><Large_Image_Size>1</Large_Image_Size><Line_Fin_Summ>N</Line_Fin_Summ><Stds_Fin_Summ>N</Stds_Fin_Summ><Subsec_Fin_Summ>N</Subsec_Fin_Summ><Fin_Summ>N</Fin_Summ><Lock_Order>0</Lock_Order><Quick_Turn_Around>0</Quick_Turn_Around><Quote_Type>B</Quote_Type></Env>","TANGRAM-OP_ORDER_HEADER-1-245031-O","2025-05-02 00:06:44.974371",NULL,NULL
"-1","TANGRAM","1",245191,"O",118351,"S","199785","VET002","605C50252","2005-11-07 00:00:00","2005-11-07 00:00:00","2006-01-19 00:00:00",NULL,NULL,"FACILITIES AREA                         ","551","100",NULL,"0","C","O","C","N","4 ","A","1  ","2008-04-01 00:00:00",0,1,NULL,0,0,"S","C","S","S","  ","GOVT","N","N","N","N",201615,"RVI","S","2005-11-03 00:00:00","D","M","M","M",False,NULL,"85.43",NULL,False,False,False,NULL,False,"$1,592.17","$232.00","$123.39",False,False,"$0.00",False,"S",NULL,False,NULL,False,"N","N","N","<Env><Line_Image_Opt>N</Line_Image_Opt><Stds_Image_Opt>N</Stds_Image_Opt><Subsec_Image_Opt>N</Subsec_Image_Opt><Carton_Request>N</Carton_Request><Large_Image_Size>1</Large_Image_Size><Line_Fin_Summ>N</Line_Fin_Summ><Stds_Fin_Summ>N</Stds_Fin_Summ><Subsec_Fin_Summ>N</Subsec_Fin_Summ><Fin_Summ>N</Fin_Summ><Lock_Order>0</Lock_Order><Quick_Turn_Around>0</Quick_Turn_Around><Quote_Type>B</Quote_Type></Env>","TANGRAM-OP_ORDER_HEADER-1-245191-O","2025-05-02 00:06:44.974371",NULL,NULL
"-1","TANGRAM","1",245222,"O",116202,"S",NULL,"BAA001","WARRANTY","2005-09-28 00:00:00","2005-09-28 00:00:00","2005-09-28 00:00:00",NULL,NULL,"quartz hill warranty","502","100",NULL,"0","C","N","C","N","4 ","A","1  ",NULL,0,0,NULL,0,0,"S","C","S","S","  ","LO10","N","N","N","N",0,"AGU","S",NULL,"D","D","D","M",False,NULL,"-999.99",NULL,False,False,False,NULL,False,"$0.00","$22.00","$0.00",False,False,"$0.00",False,"S",NULL,False,NULL,False,"N","N","N","<Env><Line_Image_Opt>N</Line_Image_Opt><Stds_Image_Opt>N</Stds_Image_Opt><Subsec_Image_Opt>N</Subsec_Image_Opt><Carton_Request>N</Carton_Request><Large_Image_Size>1</Large_Image_Size><Line_Fin_Summ>N</Line_Fin_Summ><Stds_Fin_Summ>N</Stds_Fin_Summ><Subsec_Fin_Summ>N</Subsec_Fin_Summ><Fin_Summ>N</Fin_Summ><Lock_Order>0</Lock_Order><Quick_Turn_Around>0</Quick_Turn_Around><Quote_Type>B</Quote_Type></Env>","TANGRAM-OP_ORDER_HEADER-1-245222-O","2025-05-02 00:06:44.974371",NULL,NULL
