"hds_orderline_id","organization_id","company_code","order_index","line_index","line_no","date_entered","line_status","vnd_no","vnd_po_adr_no","qty_ordered","cat_no","vendor_catalog_code","tax_authority_code","unit_list","unit_sell","unit_cost","unit_dpp","unit_weight","item_no","cust_request_date","po_print_indicator","po_suffix","processing_code","print_po","ack_po","receive_goods","print_dt","deliver_goods","cost_verify","invoice_when","print_invoice","qty_received","received_date","qty_ticketed","ticketed_date","qty_delivered","delivered_date","qty_invoiced","invoiced_date","qty_cost_verified","cost_verified_date","attachment_ind","spec_l_order_indictr","interim_vnd_no","interim_vnd_ship_to","no_charge_indicator","warehouse_no","engineering_qte_no","eng_quote_product_id","sub_section_index","sub_section_seq_number","freight_indicator","ack_qty_ord_chg","ack_cat_no_chg","ack_desc_chg","ack_vnd_prom_dt_chg","ack_arrival_dt_chg","ack_unit_sell_chg","ack_line_cancld_chg","ack_tagging_chg","ack_line_added_chg","ack_cus_desc_chg","osr_qty_ord_chg","osr_cat_no_chg","osr_desc_chg","osr_po_suffix_chg","osr_qty_recvd_chg","osr_qty_delivd_chg","osr_qty_invcd_chg","osr_vnd_prom_dt_chg","osr_arrival_dt_chg","osr_cus_req_dt_chg","osr_unit_sell_chg","osr_tagging_chg","osr_line_added_chg","osr_cus_desc_chg","parent_line_index","dummy_alpha","specification_no","book_when","do_not_u_sls_1_commission_plan","do_not_u_sls_2_commission_plan","standards_index","standards_seq_number","list_price_rules","list_percentage","sell_price_rules","sell_percentage","cost_price_rules","cost_percentage","special_quote_no","replacement_line","dnu_engqte_page_no_entrd","from_original_invoic","interim_addr_type","objectkey","created_on","updated_on","process_id"
"-1","TANGRAM","1",112287,20,20,"2002-04-25 00:00:00","A","1     ","0","1.00","FEE                 ","        ","TX*1","$0.00","$76.80","$62.40","$0.00",0,NULL,"2020-06-28 00:00:00","R",NULL,"W2",False,False,False,False,False,False,"D",True,"1.00",NULL,"1.00",NULL,"1.00",NULL,"1.00","2002-04-25 00:00:00","1.00",NULL,"N","S",NULL,NULL,False,"T1","        ","                  ",0,0,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,NULL," ",NULL,"R",NULL,NULL,0,0,"F","0","F","0","F","0","              ",False,False,False,NULL,"TANGRAM-OP_ORDERLINE-1-112287-20","2025-05-02 00:06:44.974371",NULL,NULL
"-1","TANGRAM","1",112287,21,21,"2002-05-22 00:00:00","A","1     ","0","1.00","FEE                 ","        ","TX*1","$0.00","$76.80","$62.40","$0.00",0,NULL,"2020-06-28 00:00:00","R",NULL,"W2",False,False,False,False,False,False,"D",True,"1.00",NULL,"1.00",NULL,"1.00",NULL,"1.00","2002-05-23 00:00:00","1.00",NULL,"N","S",NULL,NULL,False,"T1","        ","                  ",0,0,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,NULL," ",NULL,"R",NULL,NULL,0,0,"F","0","F","0","F","0","              ",False,False,False,NULL,"TANGRAM-OP_ORDERLINE-1-112287-21","2025-05-02 00:06:44.974371",NULL,NULL
"-1","TANGRAM","1",112287,22,22,"2002-06-26 00:00:00","A","1     ","0","1.00","FEE                 ","        ","TX*1","$0.00","$76.80","$62.40","$0.00",0,NULL,"2020-06-28 00:00:00","R",NULL,"W2",False,False,False,False,False,False,"D",True,"1.00",NULL,"1.00",NULL,"1.00",NULL,"1.00","2002-06-27 00:00:00","1.00",NULL,"N","S",NULL,NULL,False,"T1","        ","                  ",0,0,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,NULL," ",NULL,"R",NULL,NULL,0,0,"F","0","F","0","F","0","              ",False,False,False,NULL,"TANGRAM-OP_ORDERLINE-1-112287-22","2025-05-02 00:06:44.974371",NULL,NULL
"-1","TANGRAM","1",112287,23,23,"2002-07-26 00:00:00","A","1     ","0","1.00","FEE                 ","        ","TX*1","$0.00","$76.80","$62.40","$0.00",0,NULL,"2020-06-28 00:00:00","R",NULL,"W2",False,False,False,False,False,False,"D",True,"1.00",NULL,"1.00",NULL,"1.00",NULL,"1.00","2002-07-26 00:00:00","1.00",NULL,"N","S",NULL,NULL,False,"T1","        ","                  ",0,0,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,NULL," ",NULL,"R",NULL,NULL,0,0,"F","0","F","0","F","0","              ",False,False,False,NULL,"TANGRAM-OP_ORDERLINE-1-112287-23","2025-05-02 00:06:44.974371",NULL,NULL
"-1","TANGRAM","1",112287,24,24,"2002-08-23 00:00:00","A","1     ","0","1.00","FEE                 ","        ","TX*1","$0.00","$76.80","$62.40","$0.00",0,NULL,"2020-06-28 00:00:00","R",NULL,"W2",False,False,False,False,False,False,"D",True,"1.00",NULL,"1.00",NULL,"1.00",NULL,"1.00","2002-08-23 00:00:00","1.00",NULL,"N","S",NULL,NULL,False,"T1","        ","                  ",0,0,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,NULL," ",NULL,"R",NULL,NULL,0,0,"F","0","F","0","F","0","              ",False,False,False,NULL,"TANGRAM-OP_ORDERLINE-1-112287-24","2025-05-02 00:06:44.974371",NULL,NULL
"-1","TANGRAM","1",112287,25,25,"2002-09-27 00:00:00","A","1     ","0","1.00","FEE                 ","        ","TX*1","$0.00","$76.80","$62.40","$0.00",0,NULL,"2020-06-28 00:00:00","R",NULL,"W2",False,False,False,False,False,False,"D",True,"1.00",NULL,"1.00",NULL,"1.00",NULL,"1.00","2002-09-27 00:00:00","1.00",NULL,"N","S",NULL,NULL,False,"T1","        ","                  ",0,0,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,NULL," ",NULL,"R",NULL,NULL,0,0,"F","0","F","0","F","0","              ",False,False,False,NULL,"TANGRAM-OP_ORDERLINE-1-112287-25","2025-05-02 00:06:44.974371",NULL,NULL
"-1","TANGRAM","1",112287,26,26,"2002-10-23 00:00:00","A","1     ","0","1.00","FEE                 ","        ","TX*1","$0.00","$76.80","$62.40","$0.00",0,NULL,"2020-06-28 00:00:00","R",NULL,"W2",False,False,False,False,False,False,"D",True,"1.00",NULL,"1.00",NULL,"1.00",NULL,"1.00","2002-10-23 00:00:00","1.00",NULL,"N","S",NULL,NULL,False,"T1","        ","                  ",0,0,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,NULL," ",NULL,"R",NULL,NULL,0,0,"F","0","F","0","F","0","              ",False,False,False,NULL,"TANGRAM-OP_ORDERLINE-1-112287-26","2025-05-02 00:06:44.974371",NULL,NULL
"-1","TANGRAM","1",112287,27,27,"2002-11-19 00:00:00","A","1     ","0","1.00","FEE                 ","        ","TX*1","$0.00","$76.80","$62.40","$0.00",0,NULL,"2020-06-28 00:00:00","R",NULL,"W2",False,False,False,False,False,False,"D",True,"1.00",NULL,"1.00",NULL,"1.00",NULL,"1.00","2002-11-20 00:00:00","1.00",NULL,"N","S",NULL,NULL,False,"T1","        ","                  ",0,0,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,NULL," ",NULL,"R",NULL,NULL,0,0,"F","0","F","0","F","0","              ",False,False,False,NULL,"TANGRAM-OP_ORDERLINE-1-112287-27","2025-05-02 00:06:44.974371",NULL,NULL
"-1","TANGRAM","1",112287,28,28,"2003-01-31 00:00:00","A","1     ","0","1.00","FEE                 ","        ","TX*1","$0.00","$120.96","$92.16","$0.00",0,NULL,"2020-06-28 00:00:00","R",NULL,"W2",False,False,False,False,False,False,"D",True,"1.00",NULL,"1.00",NULL,"1.00",NULL,"1.00","2003-01-31 00:00:00","1.00",NULL,"N","S",NULL,NULL,False,"T1","        ","                  ",0,0,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,NULL," ",NULL,"R",NULL,NULL,0,0,"F","0","F","0","F","0","              ",False,False,False,NULL,"TANGRAM-OP_ORDERLINE-1-112287-28","2025-05-02 00:06:44.974371",NULL,NULL
"-1","TANGRAM","1",112287,29,29,"2003-01-31 00:00:00","A","1     ","0","1.00","FEE                 ","        ","TX*1","$0.00","$120.96","$92.16","$0.00",0,NULL,"2020-06-28 00:00:00","R",NULL,"W2",False,False,False,False,False,False,"D",True,"1.00",NULL,"1.00",NULL,"1.00",NULL,"1.00","2003-01-31 00:00:00","1.00",NULL,"N","S",NULL,NULL,False,"T1","        ","                  ",0,0,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,NULL," ",NULL,"R",NULL,NULL,0,0,"F","0","F","0","F","0","              ",False,False,False,NULL,"TANGRAM-OP_ORDERLINE-1-112287-29","2025-05-02 00:06:44.974371",NULL,NULL
